Target_Gene;Source_Gene;Interaction_Type;Reason
A2M;PPARG;1;Incoherent Outgoing: Source PPARG (1.3734935756025815) vs Target A2M (-1.162271287595134)
ACTB;SYNPO;1;Incoherent Outgoing: Source SYNPO (-1.0636164946962001) vs Target ACTB (0.7317618135586645)
AKT2;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (1.2995616713485507) vs Target AKT2 (-0.3220420078119872)
BAX;IRF2BP2;-1;Incoherent Outgoing: Source IRF2BP2 (1.0302495588162106) vs Target BAX (1.620708242617777)
BAX;MCL1;-1;Incoherent Outgoing: Source MCL1 (1.3806248780056132) vs Target BAX (1.620708242617777)
BCL2L11;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.0501148341682445) vs Target BCL2L11 (0.6097023212416124)
BCL6;BCL11A;1;Incoherent Outgoing: Source BCL11A (2.165039468581379) vs Target BCL6 (-0.870005308525057)
BID;HIF1A;-1;Incoherent Outgoing: Source HIF1A (1.3236216474634936) vs Target BID (0.73163907440453)
BRCA1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target BRCA1 (1.1251727467193762)
CASP10;CASP3;1;Incoherent Outgoing: Source CASP3 (1.4448456210784482) vs Target CASP10 (-0.5602880938282366)
CASP3;CDKN1A;-1;Incoherent Outgoing: Source CDKN1A (2.8847200992237703) vs Target CASP3 (1.4448456210784482)
CASP3;XIAP;-1;Incoherent Outgoing: Source XIAP (1.2289213869753635) vs Target CASP3 (1.4448456210784482)
CASP6;CASP3;1;Incoherent Outgoing: Source CASP3 (1.4448456210784482) vs Target CASP6 (-0.42025493667786495)
CASP7;TRIP13;-1;Incoherent Outgoing: Source TRIP13 (2.7775963890892186) vs Target CASP7 (0.3205267795857383)
CASP7;XIAP;-1;Incoherent Outgoing: Source XIAP (1.2289213869753635) vs Target CASP7 (0.3205267795857383)
CASP9;CASP3;1;Incoherent Outgoing: Source CASP3 (1.4448456210784482) vs Target CASP9 (-0.38392358167603113)
CAV1;PLAUR;1;Incoherent Outgoing: Source PLAUR (1.9592585223351096) vs Target CAV1 (-2.8133907499391473)
CCND1;CAV1;-1;Incoherent Outgoing: Source CAV1 (-2.8133907499391473) vs Target CCND1 (-2.2457718059888467)
CCND1;E2F1;1;Incoherent Outgoing: Source E2F1 (1.5031070670470799) vs Target CCND1 (-2.2457718059888467)
CCND1;EZH2;1;Incoherent Outgoing: Source EZH2 (3.940081171628454) vs Target CCND1 (-2.2457718059888467)
CCND1;REL;1;Incoherent Outgoing: Source REL (1.4115020437527575) vs Target CCND1 (-2.2457718059888467)
CCND1;STAT1;1;Incoherent Outgoing: Source STAT1 (1.8655010900454574) vs Target CCND1 (-2.2457718059888467)
CD44;E2F1;-1;Incoherent Outgoing: Source E2F1 (1.5031070670470799) vs Target CD44 (0.9095609637263875)
CD82;HIF1A;1;Incoherent Outgoing: Source HIF1A (1.3236216474634936) vs Target CD82 (-0.38419100932674066)
CREB1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.7884160437466017) vs Target CREB1 (0.8192495059139278)
DDR1;E2F1;1;Incoherent Outgoing: Source E2F1 (1.5031070670470799) vs Target DDR1 (-0.4286179555497007)
E2F1;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.7884160437466017) vs Target E2F1 (1.5031070670470799)
E2F1;BTG3;-1;Incoherent Outgoing: Source BTG3 (2.197640498359907) vs Target E2F1 (1.5031070670470799)
E2F1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target E2F1 (1.5031070670470799)
ETS1;HIF1A;1;Incoherent Outgoing: Source HIF1A (1.3236216474634936) vs Target ETS1 (-0.3960561823407165)
EZH2;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5904259378194006) vs Target EZH2 (3.940081171628454)
FOS;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target FOS (0.671310138767911)
FOS;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5904259378194006) vs Target FOS (0.671310138767911)
HDAC1;CCND1;1;Incoherent Outgoing: Source CCND1 (-2.2457718059888467) vs Target HDAC1 (1.1786111186582957)
HDAC1;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5904259378194006) vs Target HDAC1 (1.1786111186582957)
HIF1A;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.7884160437466017) vs Target HIF1A (1.3236216474634936)
HIF1A;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.0501148341682445) vs Target HIF1A (1.3236216474634936)
HIF1A;STAT1;-1;Incoherent Outgoing: Source STAT1 (1.8655010900454574) vs Target HIF1A (1.3236216474634936)
KRT17P5;STAT1;1;Incoherent Outgoing: Source STAT1 (1.8655010900454574) vs Target KRT17P5 (-0.4727200011672128)
MCL1;CAV1;1;Incoherent Outgoing: Source CAV1 (-2.8133907499391473) vs Target MCL1 (1.3806248780056132)
MCL1;CDC20;-1;Incoherent Outgoing: Source CDC20 (3.1684761809355777) vs Target MCL1 (1.3806248780056132)
MCL1;PMAIP1;-1;Incoherent Outgoing: Source PMAIP1 (2.31168366941007) vs Target MCL1 (1.3806248780056132)
MCM7;CCND1;1;Incoherent Outgoing: Source CCND1 (-2.2457718059888467) vs Target MCM7 (0.9852327788460968)
NR3C1;AR;1;Incoherent Outgoing: Source AR (-2.619325807871763) vs Target NR3C1 (0.44268080685514555)
PARP1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target PARP1 (0.3386577638883175)
PARP1;CASP3;-1;Incoherent Outgoing: Source CASP3 (1.4448456210784482) vs Target PARP1 (0.3386577638883175)
PLAU;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target PLAU (2.629744614384977)
PLAUR;CAV1;1;Incoherent Outgoing: Source CAV1 (-2.8133907499391473) vs Target PLAUR (1.9592585223351096)
PLAUR;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target PLAUR (1.9592585223351096)
PMAIP1;BCL2;1;Incoherent Outgoing: Source BCL2 (-1.0501148341682445) vs Target PMAIP1 (2.31168366941007)
PML;IRF9;1;Incoherent Outgoing: Source IRF9 (2.005591481690498) vs Target PML (-0.44091924901423507)
PML;STAT1;1;Incoherent Outgoing: Source STAT1 (1.8655010900454574) vs Target PML (-0.44091924901423507)
RB1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target RB1 (0.6049270931900468)
SERPINA3;STAT1;1;Incoherent Outgoing: Source STAT1 (1.8655010900454574) vs Target SERPINA3 (-6.0399935276634595)
SMAD3;PPARG;1;Incoherent Outgoing: Source PPARG (1.3734935756025815) vs Target SMAD3 (-1.0829696788309393)
STAT1;HDAC1;-1;Incoherent Outgoing: Source HDAC1 (1.1786111186582957) vs Target STAT1 (1.8655010900454574)
STAT3;CDKN1A;-1;Incoherent Outgoing: Source CDKN1A (2.8847200992237703) vs Target STAT3 (0.33980163575355515)
STAT5A;HSP90AB1;1;Incoherent Outgoing: Source HSP90AB1 (1.2995616713485507) vs Target STAT5A (-1.5904259378194006)
SYNPO;YWHAB;1;Incoherent Outgoing: Source YWHAB (1.2551234617211868) vs Target SYNPO (-1.0636164946962001)
VIM;ARRB1;1;Incoherent Outgoing: Source ARRB1 (-1.7884160437466017) vs Target VIM (0.6371120654261446)
VIM;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5904259378194006) vs Target VIM (0.6371120654261446)
XIAP;STAT5A;1;Incoherent Outgoing: Source STAT5A (-1.5904259378194006) vs Target XIAP (1.2289213869753635)
